Original_Title,Normalized_Title,Primary_Attribute,Secondary_Attribute,Group_ID,Notes
Compact + Refill or Refill Only,Other,Other,,group_29,"Language: en; Ambiguous title, requires manual review"
Lens Strength:,Other,Other,,group_30,"Language: de; Ambiguous title, requires manual review"
Ring type Accents( M: moissanite D: diamond),Size,Size,,2c769c9b-b62d-4c23-a638-d2b0e1b30dc9,Language: en
DIY Floor Kit,Other,Other,,group_31,"Language: nl; Ambiguous title, requires manual review"
Belt Size,Size,Size,,group_32,Language: de
Addon,Other,Other,,group_33,Language: cy
Strap Color,Color,Color,,group_34,Language: en
Holster,Other,Other,,b42fe45c-c1bf-4753-9e09-af75943372a1,"Language: da; Ambiguous title, requires manual review"
Ring Size.,Size,Size,,group_35,Language: de
Branding,Other,Other,,6799ba73-aef4-4ad1-acbe-d1fb5c9058ce,"Language: id; Ambiguous title, requires manual review"
Message,Other,Other,,group_36,"Language: de; Ambiguous title, requires manual review"
Chest,Other,Other,,824402f2-39b4-4cfb-a173-6f95263a4a8a,"Language: en; Ambiguous title, requires manual review"
Recline Options - Select One,Other,Other,,51e2f5b7-a961-4409-86c6-040cabd03852,"Language: en; Ambiguous title, requires manual review"
Frame Color | Lens Color,Color,Color,,group_37,Language: en
Choose your size,Size,Size,,group_38,Language: en
Neck Style [ Select Neck to See Images],Style,Style,,bf255e5f-2a67-4674-bad0-d761a1b930a2,Language: en
Select Your Size,Size,Size,,group_39,Language: en
FPS (SD) - Spring,Other,Other,,group_40,"Language: de; Ambiguous title, requires manual review"
International Models,Other,Other,,3df53834-73af-4545-a0fc-30e5ca45883d,"Language: it; Ambiguous title, requires manual review"
Fitted Hat Number Sizes,Quantity,Quantity,Size,group_41,Language: de
Subscribe And Save,Other,Other,,dd31f82c-d2fc-4163-bb6d-7ee804f60378,"Language: en; Ambiguous title, requires manual review"
Harness Color,Color,Color,,group_42,Language: en
TOP,Other,Other,,group_43,"Language: vi; Ambiguous title, requires manual review"
Model #,Style,Style,,group_9,Language: ca
Temp/Fill,Other,Other,,463ceccd-ee02-4fca-8d1c-4d02897c91ea,"Language: id; Ambiguous title, requires manual review"
Bottle size,Size,Size,,group_24,Language: it
Color/Material,Material,Material,Color,7e44afea-a169-485c-b467-86e7fd5389d7,Language: ro; Fuzzy match: material/color (score: 96)
Type:,Style,Style,,group_44,Language: no
Item Type,Style,Style,,group_45,Language: en
Temple Arms,Other,Other,,00d8de45-f885-472d-8aab-122d70abdf0f,"Language: en; Ambiguous title, requires manual review"
Fill Material,Material,Material,,aaa2770d-751e-4a08-a761-48b362ee9fda,Language: it
Size (Bag),Size,Size,,group_46,Language: de
Variants,Other,Other,,6d0cec1f-bac8-47aa-b158-3364e723ad0a,"Language: ca; Ambiguous title, requires manual review"
LETTERS,Letter,Letter,,group_47,Language: fr
Font ,Letter,Letter,,group_48,Language: fr
Bundle Options,Quantity,Quantity,,group_49,Language: de
Size Range,Size,Size,,group_50,Language: de
Wine Add-Ons,Other,Other,,571a91b3-c0b0-4f11-98c6-207ed2f0509e,"Language: de; Ambiguous title, requires manual review"
Hat Color,Color,Color,,group_51,Language: en
<b>Frontal Length</b>,Other,Other,,11b5e6a3-361e-4f22-ab48-cd23be7ddb16,"Language: en; Ambiguous title, requires manual review"
Chain Width,Size,Size,,group_52,Language: en
QTY,Other,Other,,group_53,Language: vi
Reel Handle Position,Other,Other,,b1b5af17-c385-4897-be69-a93d62628df6,"Language: en; Ambiguous title, requires manual review"
Grade,Other,Other,,group_54,"Language: pt; Ambiguous title, requires manual review"
Scent selection,Scent,Scent,,02d76f13-2dfd-4a1f-943b-e0710674f328,Language: en
Insert Type,Style,Style,,group_55,Language: no
Goggle Color,Color,Color,,d7762713-6323-4d62-8b6a-d2b9118fcc0a,Language: it
Lid Color,Color,Color,,group_56,Language: en
Morse Taper,Other,Other,,f25c50da-7bc4-4d10-bbd9-1820d3ade640,"Language: no; Ambiguous title, requires manual review"
Casing,Other,Other,,e6404e1f-3ea6-4069-9f7b-7be1cff02f62,"Language: tl; Ambiguous title, requires manual review"
Opal,Other,Other,,group_57,"Language: tl; Ambiguous title, requires manual review"
Ooni Pizza Peel (Size),Size,Size,,65d23eca-84ac-4583-9366-832be4172337,Language: it
Select quantity,Quantity,Quantity,,group_58,Language: ca
amount,Quantity,Quantity,,group_59,Language: en
Letter Bead Color,Color,Color,,group_60,Language: en
LETRA,Letter,Letter,,6d0573ef-a38f-499b-aa83-ad492676bf68,Language: fr
Palette,Other,Other,,group_61,"Language: it; Ambiguous title, requires manual review"
Choose Buckle,Hardware,Hardware,,34a9ac20-9309-457d-a7f6-144af72b4ae3,Language: nl
Town,Other,Other,,3c3ee4cf-9c89-4a89-b029-35d74ec6e318,"Language: en; Ambiguous title, requires manual review"
Tassel Color,Color,Color,,0835c356-bc32-463d-bff8-23f2407f7674,Language: it
Youth T-shirt Size,Size,Size,,group_62,Language: en
Angel Number,Quantity,Quantity,,938a2a6e-9df5-4355-95dc-109c4f4998f0,Language: de
taille du collier,Size,Size,,f7a54b77-bdb7-4098-a858-7b749cb7de58,Language: fr
Taille de brosse,Size,Size,,group_63,Language: fr
Scoop Bralette,Other,Other,,group_64,"Language: it; Ambiguous title, requires manual review"
Table Top Finish,Other,Other,,group_65,"Language: en; Ambiguous title, requires manual review"
Table Top,Other,Other,,group_65,"Language: en; Ambiguous title, requires manual review"
Choose Strand,Other,Other,,group_66,"Language: en; Ambiguous title, requires manual review"
Table Body Colors,Other,Other,Color,group_65,"Language: en; Ambiguous title, requires manual review"
Length (inches),Size,Size,,group_67,Language: en
Choose Tag Protector?,Other,Other,,33ebf64c-a117-4f7b-b7e3-3c469fed2c7c,"Language: en; Ambiguous title, requires manual review"
Pedals,Other,Other,,e1b6eb17-306b-42b7-bd2b-df6cb0805559,"Language: id; Ambiguous title, requires manual review"
Suspension,Other,Other,,group_68,"Language: af; Ambiguous title, requires manual review"
Cable Attachment,Other,Other,,76e8466f-a398-4d20-aadc-fc82bb47b179,"Language: fr; Ambiguous title, requires manual review"
Chain or Rope Length,Size,Size,,group_69,Language: en
ADABOLIC Flavor,Scent,Scent,,group_70,Language: sk
Pickup Location,Other,Other,,12e9643d-3bef-4ed2-86a7-85516c48ff03,"Language: en; Ambiguous title, requires manual review"
Scent Strips,Scent,Scent,,e4f7e0e2-6a0a-4182-b467-5a18329807a8,Language: en
Curl:,Other,Other,,group_71,"Language: ro; Ambiguous title, requires manual review"
Thread size,Size,Size,,group_72,Language: en
SELECT CLASP,Hardware,Hardware,,group_73,Language: en
Number of Bottles,Quantity,Quantity,,group_74,Language: en
Strap Length,Other,Other,,group_34,Language: en
Thread Color,Color,Color,,group_72,Language: en
options,Other,Other,,group_75,Language: en
Stone Weight:,Other,Other,,group_76,"Language: de; Ambiguous title, requires manual review"
Earring Size,Size,Size,,group_77,Language: de
Player,Other,Other,,0cdaf1c0-f5ad-49ed-9b99-b25e1607638c,"Language: tr; Ambiguous title, requires manual review"
Blade Color,Color,Color,,group_78,Language: es
Frontal Length,Size,Size,,8307170a-79f0-49f7-b673-28be9b4450d3,Language: nl
No of items,Other,Other,,group_79,"Language: en; Ambiguous title, requires manual review"
Stem Length (MM),Size,Size,,group_80,Language: de
Mix 1-dozen quail eggs directly into the links? (+$4.80),Other,Other,,group_81,"Language: en; Ambiguous title, requires manual review"
Burner Type,Style,Style,,group_82,Language: no
Rod Power,Other,Other,,a1545b4c-6c77-4d6d-83f7-06ba5bc968ab,"Language: pl; Ambiguous title, requires manual review"
Diamond Weight:,Other,Other,,group_83,Language: de
Estilo,Style,Style,,dd50e6d0-2e28-48be-9339-b1ce698206f0,Language: es
BUNDLE OPTIONS,Quantity,Quantity,,group_49,Language: pt
Select a Pack:,Quantity,Quantity,,group_84,Language: en
Choose Your Package,Other,Other,,630dcee6-5bc5-4d0c-8961-c568e9afcb5d,"Language: en; Ambiguous title, requires manual review"
Fill Option,Other,Other,,e1868f0e-fe0a-4827-8598-9b189e35b261,"Language: en; Ambiguous title, requires manual review"
VCO Model,Other,Other,,d89310c0-8b2f-4a16-9d5e-d34095ddf3ff,"Language: ca; Ambiguous title, requires manual review"
pack,Quantity,Quantity,,group_84,Language: pl
Driver,Other,Other,,group_85,"Language: no; Ambiguous title, requires manual review"
SHADE,Color,Color,,group_86,Language: de
Choose Your Plan,Other,Other,,group_87,"Language: en; Ambiguous title, requires manual review"
Theme,Other,Other,,7c4175f7-a0bb-4dd7-ac13-848a08ef78a0,"Language: en; Ambiguous title, requires manual review"
Ring type+Side white stones,Color,Color,,f5f302b6-0dbb-4943-b8d3-f195e4abae62,Language: en
GENDER,Other,Other,,group_88,"Language: de; Ambiguous title, requires manual review"
Scents,Scent,Scent,,8e2953bf-9fe8-4cf5-898b-32a2065efce0,Language: en
MASK COLORS,Other,Other,Color,group_89,"Language: en; Ambiguous title, requires manual review"
Production Processing Time,Other,Other,,group_90,"Language: en; Ambiguous title, requires manual review"
Product Length,Size,Size,,group_91,Language: en
Headrest,Other,Other,,73b44cab-802f-4858-af76-0429b822d3dc,"Language: es; Ambiguous title, requires manual review"
Mat,Other,Other,,group_92,"Language: sw; Ambiguous title, requires manual review"
Hub Model,Other,Other,,2c8e3785-58a4-45f4-8a0e-9a45b0371003,"Language: da; Ambiguous title, requires manual review"
Project Materials,Other,Other,,0eb3fe2e-b789-45e6-b615-8a1a40cea7ff,"Language: en; Ambiguous title, requires manual review"
Muzzle,Other,Other,,bcaad0d5-61e1-4120-bc47-98c31b67e072,"Language: tr; Ambiguous title, requires manual review"
Hudz Color,Color,Color,,5c03978e-6c33-4f52-9ca0-d40c90dd0064,Language: es
Packages,Other,Other,,40406202-2fd5-4008-b71e-e94d678ad868,Language: de
Weights,Other,Other,,group_93,Language: de
Give back,Other,Other,,9eeb2024-03e0-4d65-9a9c-1373483bf2ab,"Language: en; Ambiguous title, requires manual review"
Welcome Home,Other,Other,,9dfb1b26-97bd-458f-ad5d-f69999b1583c,"Language: en; Ambiguous title, requires manual review"
SHIP FROM,Other,Other,,f85cfefa-6f74-4e44-b6b9-dfd7f1a52804,Language: de
Orientation:,Other,Other,,group_94,"Language: fr; Ambiguous title, requires manual review"
BIRTHSTONE,Other,Other,,group_95,"Language: de; Ambiguous title, requires manual review"
Sleeve length type,Size,Size,,70b62650-14a4-46fa-ae98-5580e1f33085,Language: en
Add Acrylic Tag: $6,Other,Other,,group_96,"Language: cy; Ambiguous title, requires manual review"
Small,Other,Other,,a98b3528-45b8-4f07-b1ed-e0ee6c064cbf,"Language: fi; Ambiguous title, requires manual review"
Essential Short-Sleeve Rashguard - Black (Size),Size,Size,,e1092a3b-3e28-440a-b0c1-99085d0b577a,Language: en
Bulb Color,Color,Color,,2bce4de8-a3fa-4c4f-9ef3-e676e47f41b3,Language: ro
Shade Color,Color,Color,,group_86,Language: pt
Body Height,Size,Size,,d009e976-adbb-4d44-855c-02f6c725a0f9,Language: en
Spoke Count,Quantity,Quantity,,ec943978-61fa-4540-8a56-d4a6173ef387,Language: en
Metal Color x Gem Color,Color,Color,,group_97,Language: pt
Inlay Material,Material,Material,,group_98,Language: tl
Position ,Other,Other,,253064b2-d19a-42b5-b1b5-9ecaf0b1ad33,"Language: fi; Ambiguous title, requires manual review"
Garnet,Other,Other,,d3463346-1ad2-41e8-9dd7-07080f40fe78,"Language: no; Ambiguous title, requires manual review"
Lid & Straw Color,Color,Color,,group_99,Language: en
Stainless Steel Bottle - TMW (Color),Color,Color,,group_100,Language: en
CONDITION,Other,Other,,group_101,Language: en
Stainless Steel Bottle - TMW (Size),Size,Size,,group_100,Language: de
Condition/Color,Other,Other,Color,21ada7d6-fced-4da8-954b-2d0341d0dfed,"Language: en; Ambiguous title, requires manual review"
Select an Option:,Other,Other,,group_19,"Language: en; Ambiguous title, requires manual review"
Finish/Plating,Other,Other,,2d37c4f7-c796-4f3d-a2ee-40dc17f0cec5,"Language: en; Ambiguous title, requires manual review"
Polarized,Other,Other,,9938e40c-9617-49c9-b3ac-7596788b8169,"Language: tr; Ambiguous title, requires manual review"
Barrel Color,Color,Color,,group_4,Language: es
Main stone size,Size,Size,,group_102,Language: it
Battery,Other,Other,,group_103,"Language: en; Ambiguous title, requires manual review"
Baby Onesie Size,Size,Size,,f96cf3c0-85f9-4d9c-a985-956ee2efa831,Language: de
Hook,Hardware,Hardware,,group_104,Language: af
Step 2 Select Your Color,Color,Color,,group_105,Language: en
Group,Other,Other,,group_106,"Language: fr; Ambiguous title, requires manual review"
Rope,Hardware,Hardware,,group_107,Language: ro
Closure Material,Material,Material,Color,group_108,Language: ro; Fuzzy match: material/color (score: 87)
Hometown,Other,Other,,76d1c7e9-5b3a-4f6b-a963-be51ee0cf018,"Language: en; Ambiguous title, requires manual review"
Label,Other,Other,,c693993d-8bab-47a4-8aee-757dda4afcb7,"Language: de; Ambiguous title, requires manual review"
FPS (SD) - Spring - Dimensions,Other,Other,,group_40,"Language: de; Ambiguous title, requires manual review"
Styles,Style,Style,,7b8a51c7-ef1c-430d-b32e-8582dfbeae8c,Language: fi
Afternoon Retreat,Other,Other,,dcefd47f-9809-47b5-8cb4-5f6a8ac2de0b,"Language: en; Ambiguous title, requires manual review"
Piece,Other,Other,,group_109,"Language: pl; Ambiguous title, requires manual review"
Throwing Hand,Other,Other,,group_110,"Language: en; Ambiguous title, requires manual review"
Diamond Carat Weight ,Other,Other,,group_111,Language: en
Footwear Sizes,Other,Other,Size,7eced532-c7bc-4ab6-ba84-a2fdb96f170f,"Language: en; Ambiguous title, requires manual review"
Choose Your Birthstone,Other,Other,,0d602034-73fc-4374-bdaf-aeb01fb9e63e,"Language: en; Ambiguous title, requires manual review"
Leader/Line Length,Size,Size,,2de7dd46-40bf-4688-8782-6d865d26e384,Language: de
Seat Material,Material,Material,,group_112,Language: ro
Color/Type,Other,Other,Color,a2151c36-e970-406f-b618-b52fde82986f,"Language: en; Ambiguous title, requires manual review"
Left or Right Hand,Other,Other,,group_113,"Language: en; Ambiguous title, requires manual review"
Scope,Other,Other,,group_114,"Language: it; Ambiguous title, requires manual review"
Pendant Finish,Other,Other,,4ce12e95-cfa3-432b-9968-fd174d7a2f40,"Language: id; Ambiguous title, requires manual review"
Lot Size,Size,Size,,3f4b4d03-3c25-4112-8a8e-c4abe8b8eedc,Language: de
Length ,Size,Size,,group_115,Language: en
SWITCH OPTION,Other,Other,,group_116,"Language: de; Ambiguous title, requires manual review"
Tripod,Other,Other,,group_117,"Language: sl; Ambiguous title, requires manual review"
Air Stock Option,Other,Other,,group_118,"Language: en; Ambiguous title, requires manual review"
Sachet,Other,Other,,dbe09195-181a-49ec-86ba-2e25dac8ddbe,"Language: nl; Ambiguous title, requires manual review"
Date & Time,Other,Other,,d23988b8-a3b8-4424-99c0-d2af388b1a3e,"Language: ro; Ambiguous title, requires manual review"
Pay What You Want,Other,Other,,ed3af99a-0056-4bcc-ae68-046b8f48f338,"Language: en; Ambiguous title, requires manual review"
Amounts,Quantity,Quantity,,65e33e81-1ca4-4508-83c2-8c6890eda0aa,Language: en
Yields,Other,Other,,1a427537-9ffb-4625-acd2-d2dc1787bc8f,"Language: af; Ambiguous title, requires manual review"
Length - Tray Type:,Size,Size,,6180d907-c5ae-4532-9e7d-d4590879fe9c,Language: en
FILTER TECHNOLOGY,Other,Other,,group_119,"Language: en; Ambiguous title, requires manual review"
Lenses Color,Color,Color,,group_120,Language: fr
Tank Top White,Color,Color,,group_121,Language: en
Paper Style,Style,Style,,group_122,Language: no
Tool,Other,Other,,group_123,"Language: et; Ambiguous title, requires manual review"
Bracelet Color,Color,Color,,group_124,Language: ro
Santos-Dumont Size,Size,Size,,c71cc9ca-e13c-4126-a4e8-ecc8092db372,Language: pt
Deal,Other,Other,,90cbbc73-ae30-4ff5-bf37-69c27b48e631,"Language: nl; Ambiguous title, requires manual review"
Select size of pillow,Size,Size,,bbfb2c24-ef5a-43be-bfdd-f9a9bd1812fb,Language: en
Ignition & Fuel,Other,Other,,a2b15cfe-43d2-4c60-b9de-9d1431495f2e,"Language: it; Ambiguous title, requires manual review"
Choose Evil Eye Colour,Color,Color,,group_125,Language: en
Ribbon Color,Color,Color,,70ef6175-33eb-443f-9dc1-cccc3cb31e5b,Language: en
Letters,Letter,Letter,,group_47,Language: no
Onewheel Model,Other,Other,,993bb5df-dd90-4086-ba4e-375bab810656,"Language: nl; Ambiguous title, requires manual review"
Pack quantity,Quantity,Quantity,,group_126,Language: ca
Opacité,Other,Other,,c7143a55-3f1f-4379-81ac-156ef2737c83,"Language: ca; Ambiguous title, requires manual review"
Pack of ,Other,Other,,group_127,Language: en
Resistance Level,Other,Other,,8a9b6c48-1f82-49b8-8204-0c40127625c3,"Language: it; Ambiguous title, requires manual review"
Monogram Style,Style,Style,,group_128,Language: en
Rail Size,Size,Size,,group_129,Language: de
Montants,Quantity,Quantity,,ef0eb096-97c0-4569-a821-db0869b65163,Language: ca
Months,Other,Other,,1f9459f8-e768-4d4a-b5e2-6381ac4e537f,"Language: en; Ambiguous title, requires manual review"
Border,Other,Other,,group_130,"Language: nl; Ambiguous title, requires manual review"
Fin System,Other,Other,,33cd2b60-df75-44ad-92a3-ca7a6c6c0604,"Language: de; Ambiguous title, requires manual review"
Media,Other,Other,,eb6e687c-faa1-46e1-a4dc-f0ee2ad37b80,"Language: cy; Ambiguous title, requires manual review"
SINGLE OR PAIR,Quantity,Quantity,,group_131,Language: de
Size - Two Piece Set,Size,Size,,e9f877f7-dc82-4323-a7dc-47c78ed120a5,Language: pl
Bottle Size,Size,Size,,group_24,Language: de
Product Choice,Other,Other,,7f913429-f481-4ad3-b655-dc7a3ccc339b,"Language: en; Ambiguous title, requires manual review"
Arm Length (MM),Size,Size,,group_132,Language: en
Sleeve Color,Color,Color,,2a36fd54-dd08-450a-b364-60aaf94e1d35,Language: nl
1st - bikini briefs - color,Color,Color,,4f819928-945c-4cd4-8632-e24318a97376,Language: ro
Choose Colour,Other,Other,Color,group_133,Language: en; Fuzzy match: choose your color (score: 87)
Tights Length,Size,Size,,1ec8cb32-c518-4687-8081-e17d081c723f,Language: en
Film,Other,Other,,1936f4d4-6a1a-4eda-b70a-091b61b2b42d,"Language: tr; Ambiguous title, requires manual review"
dernières pièces disponibles,Other,Other,,ee37164a-7f38-42a7-a1da-9863ad4067d6,"Language: es; Ambiguous title, requires manual review"
Youth Size,Size,Size,,group_62,Language: en
Top Color,Color,Color,,97529b1e-287f-4dbc-b2c4-e1fb8259f701,Language: en
Light Source,Other,Other,,f8e4c360-af52-4b4b-96e5-035dc3c1c5c2,"Language: en; Ambiguous title, requires manual review"
Choose chocolate,Other,Other,,d1186590-e63a-43a0-a370-7f189d5ca438,"Language: en; Ambiguous title, requires manual review"
Top Finish,Other,Other,,group_134,"Language: en; Ambiguous title, requires manual review"
Light Option,Other,Other,,32f0b677-547e-4538-9eb6-5ba07d3e6cc4,"Language: en; Ambiguous title, requires manual review"
Desktop Width,Size,Size,,87bc12a8-7498-4ad1-842a-3a2a5a723645,Language: af
package,Other,Other,,group_5,Language: pl
Choose Chain Size,Other,Other,Size,group_135,Language: en; Fuzzy match: choose a size (score: 87)
Choose Lens Color,Color,Color,,8c14e745-4c93-4379-8f4e-3303e75b8552,Language: en
Top Style,Style,Style,,01d76042-d591-4280-848b-6e4eee1c80cb,Language: en
Lettering Style,Style,Style,,group_136,Language: no
Fast Bar - Intermittent Fasting Bars (Flavor),Scent,Scent,,group_137,Language: de
Temple Color,Color,Color,,group_138,Language: en
Fits Egg Size,Size,Size,,group_139,Language: de
Choose Number Of Kids,Quantity,Quantity,,d6b1abac-a1c3-4447-a056-d9f28a3f09f9,Language: af
FAKE SCALP,Other,Other,,362d6dbb-b812-4a8a-ade5-a5b7a8c09d19,"Language: de; Ambiguous title, requires manual review"
Panel,Other,Other,,group_2,"Language: it; Ambiguous title, requires manual review"
Paper,Other,Other,,group_122,"Language: id; Ambiguous title, requires manual review"
Lens Mirror,Other,Other,,33ec9246-2420-4561-8e37-dd541a86cc2c,"Language: fr; Ambiguous title, requires manual review"
Paper Cord Color,Color,Color,,group_140,Language: en
Tank Top,Other,Other,,group_121,"Language: id; Ambiguous title, requires manual review"
Tray Color,Color,Color,,group_141,Language: en
Lens Coating,Other,Other,,13d361dc-b331-4dfd-976a-66e7735b4422,"Language: en; Ambiguous title, requires manual review"
FLAVORS,Scent,Scent,,group_142,Language: de
Loop,Other,Other,,group_143,"Language: nl; Ambiguous title, requires manual review"
Choose Body Scrub,Other,Other,,group_144,"Language: en; Ambiguous title, requires manual review"
Face,Other,Other,,group_145,"Language: ro; Ambiguous title, requires manual review"
Triangle Bralette,Other,Other,,group_146,"Language: it; Ambiguous title, requires manual review"
Tabletop Finish,Other,Other,,90b0a662-1a75-4444-a15d-3a914f1ac90f,"Language: en; Ambiguous title, requires manual review"
Fabric/Leather,Other,Other,,group_147,"Language: en; Ambiguous title, requires manual review"
2 Accent Nails,Other,Other,,98980ad7-0505-4317-af6f-62f4588b92f0,"Language: en; Ambiguous title, requires manual review"
Lenght,Other,Other,,7fc4ab27-fd8e-48ff-bc87-251a684ec921,"Language: de; Ambiguous title, requires manual review"
Pendant Message,Other,Other,,group_148,"Language: id; Ambiguous title, requires manual review"
Leg Line Cut,Other,Other,,7dea796b-17b0-4016-aa78-f1a06e162f0d,"Language: de; Ambiguous title, requires manual review"
Lumos Ultra E-Bike (Color),Color,Color,,group_149,Language: pt
FONT HEIGHT SIZE,Size,Size,,2b9e50e1-6c46-42be-acdf-ac025f3a0410,Language: en
Foot Style,Style,Style,,702c3635-fb33-472f-a2d0-4523a765e4d4,Language: en
Custom Letters,Other,Other,,155adb1c-8902-49e7-926c-6821a01a44f1,"Language: sv; Ambiguous title, requires manual review"
LANGUAGE,Other,Other,,group_150,"Language: fr; Ambiguous title, requires manual review"
Choose Your Chain,Hardware,Hardware,,group_135,Language: en
Lamp colour,Color,Color,,76017da9-8375-48b2-9dc1-20583b7c21e6,Language: fr
Curtains Size,Size,Size,,df0fa8d6-2d18-420a-b5c8-3221972738d8,Language: en
String Gauge,Other,Other,,db727c55-d527-44ba-8c7d-4b8d8b6073b7,"Language: de; Ambiguous title, requires manual review"
String Colors,Other,Other,Color,39016f62-3d7e-4f5a-9e7d-7c2754375c9d,"Language: en; Ambiguous title, requires manual review"
Cups,Other,Other,,b56c72f3-8cd1-4e18-9f3d-addceddc2955,"Language: ro; Ambiguous title, requires manual review"
Plant ID#,Other,Other,,e0260c09-5f0d-4c84-945c-a7b9d60ca31a,"Language: fr; Ambiguous title, requires manual review"
Choose Your Controller ,Other,Other,,group_151,Language: en
FREE,Other,Other,,f912101d-8474-4190-981a-d42488b90cc0,"Language: de; Ambiguous title, requires manual review"
Cuff,Other,Other,,fad73494-b88b-473c-a3d0-47d708bd0995,"Language: cy; Ambiguous title, requires manual review"
STONE COLOR,Color,Color,,group_152,Language: vi
STONE,Material,Material,,group_152,Language: de
Kitchen<br><span>Worktop</span>,Other,Other,,88f3b5e1-516f-4fb2-a63d-ab0c3f8789cc,"Language: en; Ambiguous title, requires manual review"
Step 2 Select Your Size,Size,Size,,group_105,Language: en
Ball Size,Size,Size,,group_153,Language: de
2nd - bikini briefs - color,Color,Color,,56aec372-4d6c-4a11-9ea8-3577290fdc83,Language: ro
