Original_Title,Normalized_Title,Primary_Attribute,Secondary_Attribute,Group_ID,Notes
Taille,Size,Size,,group_29,Language: fi
Gold Color,Color,Color,,group_30,Language: en
CHAIN LENGTH,Hardware,Hardware,,group_31,Language: vi
Product Options,Other,Other,,5b756291-a1e2-432b-8f34-ef4a558b7889,"Language: en; Ambiguous title, requires manual review"
colour,Color,Color,,group_5,Language: fr
METAL,Material,Material,,group_7,Language: sw
Pack Size,Quantity,Quantity,,group_32,Language: de
Stone Size,Size,Size,,group_33,Language: de
Blazer Size,Size,Size,,da046dfb-05a9-4641-992b-74e0defeb432,Language: de
Clothing size,Size,Size,,group_34,Language: en
Model,Style,Style,,group_35,Language: ca
listing,Other,Other,,group_36,Language: et
Waist,Other,Other,,group_37,"Language: fi; Ambiguous title, requires manual review"
color code,Color,Color,,group_18,Language: es
US Size,Size,Size,,group_38,Language: de
Details,Other,Other,,81cfac70-99b5-471e-843f-86b46c45a5e4,"Language: no; Ambiguous title, requires manual review"
Fragrance,Scent,Scent,,80b36460-5b95-4a85-93da-66b43dca79b8,Language: fr
Sofa Version,Other,Other,,1d80beda-27c7-4d9b-8845-654a06ddee70,"Language: de; Ambiguous title, requires manual review"
Orientation,Other,Other,,a73181d8-e4eb-41bd-9db6-5c95e6ac114c,"Language: fr; Ambiguous title, requires manual review"
QUANTITY,Quantity,Quantity,,group_16,Language: vi
By Age,Other,Other,,group_39,"Language: tl; Ambiguous title, requires manual review"
Frame Type,Style,Style,,group_40,Language: no
Composition,Material,Material,,571c7628-8587-4c70-bef7-0b17387594a2,Language: it
Color & Finish,Color,Color,,group_6,Language: en
Flavor,Scent,Scent,,group_41,Language: sl
Package,Other,Other,,34bed91b-42fd-4acc-ab67-ecc94c96f29c,"Language: sv; Ambiguous title, requires manual review"
Season,Other,Other,,7ae386b6-1a79-43c4-a3db-14c539423247,Language: en
ARNE Collection,Other,Other,,16c67b37-4d2d-48a0-a706-4983e4b29eac,"Language: en; Ambiguous title, requires manual review"
Bundle size,Quantity,Quantity,,group_42,Language: de
WIDTH,Size,Size,,group_15,Language: sw
MATERIAL,Material,Material,,group_4,Language: sw
Frame Color,Color,Color,,group_40,Language: en
Height (in) | Width (in),Size,Size,,group_43,Language: de
Select Quantity,Quantity,Quantity,,449c35ce-da8d-4881-9870-9c47f1926331,Language: en
Carat Weight,Other,Other,,group_44,Language: en
Centre Stone Size,Size,Size,,c89fdfd0-eba0-4d69-9eea-cd91f0c93f99,Language: it
Flat Bar Metal Width (in) | Metal Thickness (in),Size,Size,,0f643537-3158-4526-8ccc-dd96d5ca4ba6,Language: en
Select Color,Other,Other,,group_45,Language: en
Stone,Material,Material,,group_33,Language: it
Emitting Color,Color,Color,,64b14282-c3d2-47a3-b359-7be3c3747fcb,Language: en
Amount,Quantity,Quantity,,group_46,Language: en
UK Size,Size,Size,,group_47,Language: de
Wall Width,Size,Size,,ae468f7d-0b7f-4a25-8567-e6840863541d,Language: en
Wallpaper Type,Style,Style,,3c7e9f7b-f755-4113-9591-48149c991c62,Language: no
Wall Height,Size,Size,,1cccbf71-0cd9-4474-9430-2363ba5b6a7e,Language: en
Size Chart,Size,Size,,e1ebd664-cdcc-4dc2-ac96-75abd8221466,Language: de
FINISH,Style,Style,,group_6,Language: de
fit,Style,Style,,group_24,Language: sq
Hardware Color,Color,Color,,group_48,Language: en
COLOUR,Color,Color,,group_5,Language: en
Status,Other,Other,,fe999e0d-5447-42bf-bc73-be1fb2bc0bb6,Language: et
BL,Other,Other,,d864d073-4bbf-48e3-a9af-4ad16c2675a4,"Language: de; Ambiguous title, requires manual review"
Größe,Size,Size,,3a6cb1c9-4b4a-433d-b62f-545a2a10cffa,Language: de
Frame,Other,Other,,group_40,Language: nl
Select Metal,Material,Material,,2c57c328-5dcf-498b-a8cf-ab081c2a3619,Language: en
Tube Diameter (in),Size,Size,,group_49,Language: de
Color | Chain Length,Other,Other,,group_31,Language: en
Configuration,Other,Other,,eda535f9-02b8-439b-8f23-d08a5640085e,"Language: it; Ambiguous title, requires manual review"
Denominations,Other,Other,,43625fbe-2fa5-4522-8aa3-1b5c12003eb5,"Language: sv; Ambiguous title, requires manual review"
Edges,Other,Other,,2869fb2a-51de-4cfa-94a3-3e6e344fc313,"Language: en; Ambiguous title, requires manual review"
Rod Pocket(s),Other,Other,,999ec0f6-0b9e-4dc1-804f-5ac708b3ddca,"Language: sv; Ambiguous title, requires manual review"
Trouser Size,Size,Size,,cbcca479-2482-468a-99ba-793c782f4ced,Language: en
Cushion,Other,Other,,group_50,"Language: en; Ambiguous title, requires manual review"
CHAIN TYPE,Hardware,Hardware,,group_51,Language: vi
Primary color,Color,Color,,group_52,Language: en
Scent,Scent,Scent,,group_53,Language: it
Height,Size,Size,,group_54,Language: de
Lens,Other,Other,,group_55,"Language: fr; Ambiguous title, requires manual review"
Unit,Other,Other,,3f180544-b69c-468d-b0b1-47a0927de850,"Language: en; Ambiguous title, requires manual review"
Housing Finish,Other,Other,,8ab5173b-f328-4496-9251-04f048a0b205,"Language: en; Ambiguous title, requires manual review"
Sex,Other,Other,,e12b6d34-792c-4809-a04f-362de36becd9,"Language: en; Ambiguous title, requires manual review"
Monogram,Letter,Letter,,53ad64e7-157b-4f5b-adf6-187e50382157,Language: hr
Shade,Other,Other,,group_56,Language: so
Grind,Other,Other,,group_57,"Language: de; Ambiguous title, requires manual review"
Add-On,Other,Other,,708113ae-df90-4056-b7d6-cbc9181e2d21,Language: cy
Product Size,Size,Size,,group_11,Language: en
Size (US),Size,Size,,group_38,Language: de
Packaging Type,Other,Other,,group_58,Language: tl
DEPTH,Size,Size,,group_59,Language: de
Version,Style,Style,,964cb3f2-d46d-42d4-8f2d-a6a99b7f28bf,Language: de
item size,Other,Other,,group_60,Language: de
item colour,Other,Other,,group_61,Language: pt
Heel Height,Size,Size,,47304d44-1ad4-4365-a5b6-9438d55904ca,Language: nl
Colors,Color,Color,,group_62,Language: en
Product Color,Color,Color,,group_11,Language: en
Bottom,Other,Other,,group_63,"Language: it; Ambiguous title, requires manual review"
LEATHER,Material,Material,,group_64,Language: fr
Chain Length,Hardware,Hardware,,group_31,Language: en
Shoe size,Size,Size,,group_65,Language: sq
Optional Cup Holders,Other,Other,,0a91b143-31d3-4ac4-96bc-ead9e8ddbeb1,"Language: en; Ambiguous title, requires manual review"
Finish type,Style,Style,,e70b415c-a99c-4efc-85a3-2db583149966,Language: en
Rate,Other,Other,,aa899b9d-c6e8-4e7b-8cb4-55b57e410679,"Language: en; Ambiguous title, requires manual review"
Glass,Material,Material,,group_66,Language: it
Servings,Quantity,Quantity,,group_67,Language: no
Pack,Quantity,Quantity,,group_32,Language: pl
Size in EURO,Size,Size,,fe5950f6-0906-4ac5-9299-0c0c9d0fe1ca,Language: de
Overall Height,Size,Size,,f54f5d8b-6556-49bb-8a45-8f40dd02a58e,Language: en
Swing,Other,Other,,33a6156f-0b97-47cf-b48d-d94fa7440e17,"Language: af; Ambiguous title, requires manual review"
Choose a Pack:,Quantity,Quantity,,group_68,Language: en
Size - Clothing,Size,Size,,group_34,Language: en
Size - Tights,Size,Size,,group_69,Language: de
Taglia,Style,Style,,6e80cc47-8fca-4c8d-9db4-c969131fa6d5,Language: tl
Design,Style,Style,,group_70,Language: da
Lens Type,Other,Other,,group_71,Language: fr
Quality Level,Other,Other,,19fa26fc-c001-4efe-8860-a90bf5f2af83,"Language: en; Ambiguous title, requires manual review"
Term,Other,Other,,fa18efff-c6ae-4ab2-82ae-212dbee2bfc7,"Language: id; Ambiguous title, requires manual review"
Talla,Other,Other,,group_72,"Language: et; Ambiguous title, requires manual review"
Style #,Style,Style,,group_3,Language: no
Production Method,Style,Style,,f94bb1d6-ee9a-4081-9a84-b8967d030501,Language: en
Material/Color Name,Letter,Letter,Color,eac80e9e-a251-404c-8c94-5dd2bf8fe38a,Language: en
Board Model,Other,Other,,45c734e3-f007-4dcb-b1b6-5d8951906761,"Language: nl; Ambiguous title, requires manual review"
Hand,Other,Other,,dfd9942b-9948-4fe0-8a39-e5d1169c8704,"Language: sv; Ambiguous title, requires manual review"
COLOR GOLD,Color,Color,,group_30,Language: en
Upholstery,Material,Material,,group_73,Language: sv
Capacity,Other,Other,,7d438f45-3c35-4440-af7b-86b3041654ec,"Language: en; Ambiguous title, requires manual review"
Adult Sizes,Other,Other,Size,7e51fae3-9299-4152-af94-b6015a8cd83e,"Language: de; Ambiguous title, requires manual review"
Chain/Rope Length,Hardware,Hardware,,7779eb5c-4e5b-420d-ab7d-25550bee1996,Language: en
Stone Color,Color,Color,,group_33,Language: it
Purchase Type,Style,Style,,group_74,Language: en
Tube Diameter,Size,Size,,group_49,Language: de
Gold,Other,Other,,group_30,"Language: cy; Ambiguous title, requires manual review"
Wattage,Other,Other,,group_75,"Language: sv; Ambiguous title, requires manual review"
Prescription,Other,Other,,group_76,"Language: fr; Ambiguous title, requires manual review"
Ring size,Size,Size,,group_26,Language: de
Body Color,Color,Color,,group_77,Language: en
Engraving Options,Style,Style,,98fb9370-42c8-4577-a3b0-578cd0338a53,Language: en
Diameter,Size,Size,,group_78,Language: af
Chains or Ropes,Other,Other,,group_79,"Language: en; Ambiguous title, requires manual review"
Moissanite Type,Style,Style,,4f480c03-37a2-474c-a30b-efbc227f9744,Language: fi
S-M-L,Other,Other,,67c20577-946a-4546-8f54-b4c8e4fb43de,"Language: de; Ambiguous title, requires manual review"
Variant,Other,Other,,group_80,"Language: lt; Ambiguous title, requires manual review"
DIAMOND CLARITY,Other,Other,,b5916a5a-7ddc-42d9-96d6-14aed31b7b57,"Language: de; Ambiguous title, requires manual review"
SELECT CENTER DIAMOND SIZE ( CARAT ),Size,Size,,07c7a73c-3b81-48ea-a087-f18268f62f1c,Language: en
Count,Quantity,Quantity,,1717ef93-c006-4ecf-b6e1-fa5cbdc3f465,Language: en
Initial,Letter,Letter,,group_81,Language: en
Length (Inches),Size,Size,,group_82,Language: en
Fuel,Other,Other,,group_83,"Language: es; Ambiguous title, requires manual review"
Dimensions,Other,Other,,group_84,"Language: af; Ambiguous title, requires manual review"
Blade Size,Size,Size,,d83e22c7-53ee-4b12-82da-f1af4250642d,Language: de
Strength,Other,Other,,2034cab4-0e99-4795-80a6-e765472d47dd,"Language: de; Ambiguous title, requires manual review"
Hanging Style,Style,Style,,0f7a2932-dd76-417f-9c16-43d7154a0bf3,Language: tl
Package Quantity,Quantity,Quantity,,group_85,Language: en
Letter,Letter,Letter,,group_86,Language: no
Tailles,Size,Size,,6d716925-554a-429d-a89e-6e344678de62,Language: et
Skull Horn,Other,Other,,6f6d8474-39a5-4225-8af3-017f28be13bd,"Language: sv; Ambiguous title, requires manual review"
Wallpaper by the Roll,Other,Other,,group_87,"Language: en; Ambiguous title, requires manual review"
Item Colour,Other,Other,,group_61,Language: en
Combined Color,Color,Color,,63610efd-92bb-4e60-b513-64912ce79c70,Language: en
STYLE,Style,Style,,group_3,Language: de
LENGTH,Size,Size,,group_8,Language: fr
Number of Blades,Quantity,Quantity,,daa2392d-672c-4e16-8a95-bca484502a87,Language: en
Lug Width (Lug-Buckle),Size,Size,,83b418f7-d25e-46eb-b486-0a78a50cb156,Language: de
Pricing Tiers,Other,Other,,b526d59c-bfcb-49ee-8bef-fb3a0fff833d,"Language: en; Ambiguous title, requires manual review"
Size Name,Size,Size,,group_88,Language: de
Accessories size,Size,Size,,group_89,Language: en
Color Gold,Color,Color,,group_30,Language: en
Ring type,Style,Style,,group_90,Language: en
Select Lens Option,Other,Other,,group_91,"Language: fr; Ambiguous title, requires manual review"
CTTW,Other,Other,,5644d0c6-2dbc-4b46-9b6a-79c77c00be11,"Language: en; Ambiguous title, requires manual review"
Fuel Type,Style,Style,,group_83,Language: es
Size (Long End/Short End),Size,Size,,bd3dccc6-10a5-43ee-a3ea-07ec9d228521,Language: de
Engraving,Other,Other,,group_92,Language: no
CHAIN WIDTH,Size,Size,,e2619962-9975-4970-b946-ac3906fc00ef,Language: so
Origin,Other,Other,,93552acd-a763-461f-87dc-79728159b09a,Language: de
Size ,Size,Size,,c433b078-86a3-4b10-bb9c-52d724bd7148,Language: de
Grösse,Other,Other,,622ad41a-03e6-4abe-8988-26a31c6bce9a,"Language: de; Ambiguous title, requires manual review"
Setting,Other,Other,,47138491-fcea-4307-ba66-26e3808c3c82,"Language: fi; Ambiguous title, requires manual review"
Bead Pattern,Style,Style,,135422dc-c048-4239-816d-985462b13165,Language: en
BRACELET LENGTH,Size,Size,,group_93,Language: de
Lot,Other,Other,,b3e3fbca-f794-45cd-88c8-5bbe620f1442,"Language: fr; Ambiguous title, requires manual review"
Base,Other,Other,,group_94,"Language: id; Ambiguous title, requires manual review"
BRACELET WIDTH,Size,Size,,bb022d08-a1ad-4f63-a584-05b78a446337,Language: de
Cup Size,Size,Size,,group_95,Language: ro
Planter,Other,Other,,792aa5da-17e7-47fd-be80-e28049e8f986,"Language: es; Ambiguous title, requires manual review"
CHOOSE YOUR CANVAS SIZE (INCHES),Size,Size,,bbc16b2f-da6b-4ce6-a066-40f7ceb50625,Language: en
Select Width,Size,Size,,3cf359aa-a78f-4a36-bd38-1af3966a5dfa,Language: en
Serves,Other,Other,,06ec4c1f-35cf-4edc-bf52-dec5a2905c57,"Language: no; Ambiguous title, requires manual review"
Select a Sock Size,Quantity,Quantity,,aed08123-6969-456a-b246-4aab9cad1e42,Language: en
Necklace Length,Size,Size,,group_96,Language: en
Select Compression Strength,Quantity,Quantity,,24e5a0c5-6322-406e-89cb-c842bd5becc1,Language: en
Tamaño,Size,Size,,a8eae4e6-5c6e-4900-8b4e-233373539815,Language: sw
BEZEL TYPE,Style,Style,,group_97,Language: vi
TALLA,Other,Other,,group_72,"Language: vi; Ambiguous title, requires manual review"
Liner,Other,Other,,a5f49fe1-b690-4a27-9234-3a6817709525,"Language: de; Ambiguous title, requires manual review"
Protective Clearcoat,Other,Other,,group_98,"Language: en; Ambiguous title, requires manual review"
Bracelet color,Color,Color,,0dceb775-dce7-4d09-adfc-2f321cc97555,Language: ro
Cushioning,Other,Other,,528e7693-72de-4e62-bec5-f68e11d4d7b9,"Language: en; Ambiguous title, requires manual review"
Hold Color,Color,Color,,97f56ba3-eb3a-4375-8058-c3ef10ec4774,Language: en
Band Size,Size,Size,,group_99,Language: de
Hook Size,Hardware,Hardware,,9581221c-4073-41ad-b1a4-30ea77691185,Language: nl
Lamping,Other,Other,,5598cc8b-7df0-4db0-aa8b-9fedb2c29519,"Language: tl; Ambiguous title, requires manual review"
Width (mm),Size,Size,,471f4a47-64a1-4443-a258-ed74eb99d102,Language: en
BOTTOM COVERAGE,Other,Other,,ea6fefbc-7afd-4fb8-bf74-2238734a9280,"Language: en; Ambiguous title, requires manual review"
Single or Pair,Quantity,Quantity,,group_100,Language: en
Tops,Other,Other,,754fdcd5-8074-4133-8385-40d5fae47cf2,"Language: hr; Ambiguous title, requires manual review"
Headboard Height,Size,Size,,862403d0-3004-4f4c-bc03-37e89de36e5d,Language: en
DIAMOND BEZEL CARAT,Other,Other,,f1a436b8-f413-4013-b0f0-242cb225c6c1,"Language: en; Ambiguous title, requires manual review"
Top Size,Size,Size,,group_101,Language: nl
Print,Other,Other,,group_102,"Language: lt; Ambiguous title, requires manual review"
Core Colors,Other,Other,Color,d83a0ab3-cfef-4178-b8d5-dd41239b7ce4,"Language: en; Ambiguous title, requires manual review"
Storage,Other,Other,,group_103,"Language: sv; Ambiguous title, requires manual review"
Tang Buckle,Hardware,Hardware,,57be55c7-04b1-4049-87d0-adca9728bfe7,Language: tl
Leg Type,Style,Style,,5f0193de-581c-4e92-8a02-b67fdd230d5b,Language: no
Available Colors,Other,Other,Color,f3600f4d-c326-4a92-9fb8-7c9339f29ac7,"Language: fr; Ambiguous title, requires manual review"
Select Clasp,Hardware,Hardware,,group_104,Language: en
Sets,Other,Other,,4810cb49-c83c-42d4-883e-4be85723d3d1,"Language: fi; Ambiguous title, requires manual review"
Length (cm),Size,Size,,78f26a9c-2b45-4b25-847c-37cb76f4bdca,Language: vi
Top,Other,Other,,group_101,"Language: en; Ambiguous title, requires manual review"
Container Size,Size,Size,,group_105,Language: de
Shoe Size,Size,Size,,group_65,Language: de
Power,Other,Other,,4b0ed75f-0fe1-4c98-86bf-0f4f88619360,"Language: pl; Ambiguous title, requires manual review"
Set,Other,Other,,group_106,"Language: fi; Ambiguous title, requires manual review"
Ground,Other,Other,,e11e2909-b419-4a9a-9ab7-cd86454973cb,"Language: en; Ambiguous title, requires manual review"
CHOOSE,Other,Other,,group_107,"Language: en; Ambiguous title, requires manual review"
Sleeve Length,Size,Size,,group_108,Language: nl
Fill,Other,Other,,76fb4979-4f7e-4673-8eb1-8625beb94435,"Language: de; Ambiguous title, requires manual review"
Rope Length + Color,Size,Size,Color,group_109,Language: en
This Size,Size,Size,,799c0957-0524-4453-be93-353f5f55ebfa,Language: en
Tier,Other,Other,,9d82c634-a780-4cdf-98f2-2e8c5a9f5657,"Language: de; Ambiguous title, requires manual review"
Ready to order for your project? Choose Box of 12 Below.,Other,Other,,group_110,"Language: en; Ambiguous title, requires manual review"
Shaft Flex,Other,Other,,3f57191b-d033-4860-aef8-39cd1b070339,"Language: de; Ambiguous title, requires manual review"
Arrival Date,Other,Other,,dd809ded-708a-4219-909e-db6406bfb2fb,"Language: it; Ambiguous title, requires manual review"
Size (Small Breed Under 10 lbs),Size,Size,,939b0145-daa2-44a0-aa63-c44890cb7ae0,Language: de
Density,Other,Other,,group_111,"Language: no; Ambiguous title, requires manual review"
HEIGHT,Size,Size,,group_54,Language: vi
Ready to order for your project?  Choose Box of 12 Below.,Other,Other,,group_110,"Language: en; Ambiguous title, requires manual review"
Nipple type,Style,Style,,86d51ed5-4511-45aa-a553-59643dcfa1d4,Language: no
Ignition,Other,Other,,group_112,"Language: it; Ambiguous title, requires manual review"
Size:,Size,Size,,0d92d3a9-a02a-4c01-8f6a-1b9374749de6,Language: de
Strap,Other,Other,,group_113,"Language: en; Ambiguous title, requires manual review"
Size Diameter,Size,Size,,group_78,Language: de
Needles,Other,Other,,bf061fc4-56a9-46c2-bc38-e11564c04a8d,"Language: nl; Ambiguous title, requires manual review"
Select Chain,Hardware,Hardware,,c98fa311-38ce-43f3-b84b-f126f0e64224,Language: en
Prescription Type,Style,Style,,group_76,Language: en
Technology,Other,Other,,eb8a6449-10c4-434e-a9ea-d42d017c6ea3,"Language: cy; Ambiguous title, requires manual review"
Harvest & Year,Other,Other,,0693a883-3305-41fb-99cc-d796428a3dbb,"Language: en; Ambiguous title, requires manual review"
Please Select a Size,Size,Size,,group_114,Language: en
Value,Other,Other,,abd46539-a744-4af5-bcbd-c2c8530834f4,"Language: fi; Ambiguous title, requires manual review"
Graphic,Other,Other,,3fd2b4e1-8dd4-44c2-b6ce-6001d8e2e4d5,"Language: en; Ambiguous title, requires manual review"
Title ,Other,Other,,group_1,Language: tr
Burner Color,Color,Color,,group_115,Language: en
Bundle,Quantity,Quantity,,group_42,Language: de
Ring Size:,Size,Size,,group_26,Language: de
Pattern language,Style,Style,,14a66133-9d73-413c-b385-08cf2ed312ba,Language: id
Pot Color,Color,Color,,group_116,Language: en
Method,Other,Other,,07f4cf8a-c5ac-4da5-b04a-c545b5d8a241,"Language: cy; Ambiguous title, requires manual review"
Choose Chain Length,Other,Other,Color,group_31,Language: en; Fuzzy match: color  chain length (score: 86)
Aproximate Size,Size,Size,,b7cf9978-4cc9-4ff5-8813-41ce66f1ae71,Language: ro
pewag Part Number,Quantity,Quantity,,2a8bd16c-1a09-4107-aade-0b45cae39abf,Language: id
Seams,Other,Other,,f07967db-07e5-4c4a-b32c-839edd0ea373,"Language: en; Ambiguous title, requires manual review"
Volume,Other,Other,,group_117,"Language: ro; Ambiguous title, requires manual review"
Thickness,Other,Other,,24047510-d827-428c-b98f-78a826112c9e,"Language: en; Ambiguous title, requires manual review"
Metal Finish,Material,Material,,51396c8a-8530-4c93-b7f9-4499cc21f849,Language: de
Price,Other,Other,,group_118,"Language: ro; Ambiguous title, requires manual review"
Bottom Size,Size,Size,,group_63,Language: it
Buckle,Hardware,Hardware,,group_119,Language: de
"Buy More, Save More",Other,Other,,group_120,Language: en
Pot,Other,Other,,group_116,"Language: pl; Ambiguous title, requires manual review"
Purpose,Other,Other,,556689ec-c6ea-4275-a93f-0252038a3ccb,Language: lt
Magnification,Other,Other,,eb2a528e-3d36-4386-b08d-522edbf09d48,"Language: it; Ambiguous title, requires manual review"
Lights,Other,Other,,747654ab-1d67-4a2f-b37d-312a3150f771,"Language: en; Ambiguous title, requires manual review"
variant,Other,Other,,group_80,"Language: lt; Ambiguous title, requires manual review"
Ink Volume,Other,Other,,85261519-c285-4df9-860a-0bff764f7ce5,"Language: et; Ambiguous title, requires manual review"
Qty,Other,Other,,ef639966-dc54-40d0-bc07-67e6930081bf,"Language: vi; Ambiguous title, requires manual review"
Accent stones,Other,Other,,group_121,"Language: it; Ambiguous title, requires manual review"
Function,Other,Other,,ad043a65-2f58-4a70-8283-576a7e1b1ee4,Language: en
Choose Your Pack,Quantity,Quantity,,group_68,Language: en
Selection,Other,Other,,ae37df4f-b695-4400-b4ed-99a8c2d4c17f,"Language: en; Ambiguous title, requires manual review"
price,Other,Other,,group_118,"Language: ro; Ambiguous title, requires manual review"
Coffee Units,Other,Other,,4c063de6-f82e-4100-8ea1-a288f93b2b26,"Language: en; Ambiguous title, requires manual review"
Box Condition,Other,Other,,62f34d2e-1478-4cb9-b157-17244f4df760,"Language: en; Ambiguous title, requires manual review"
title,Other,Other,,group_1,Language: en
Flex,Other,Other,,group_122,"Language: ro; Ambiguous title, requires manual review"
METAL PURITY,Material,Material,,a86715df-e6c2-4407-9d26-38638b04ab8f,Language: ca
Cup and Wine Glass Holder,Other,Other,,2eee41c9-1a96-4528-a639-6c9ca728f77b,"Language: en; Ambiguous title, requires manual review"
Special Order Details,Other,Other,,13bfc99f-c99b-4717-95f1-3ad69eff1bc8,"Language: nl; Ambiguous title, requires manual review"
T-Shirt Sizes,Other,Other,Size,c899423c-9027-4a85-ba00-37806f1594e2,"Language: de; Ambiguous title, requires manual review"
Name,Letter,Letter,,group_88,Language: de
SELECT LENGTH:,Size,Size,,group_123,Language: de
Default2,Other,Other,,c2fd14f1-e5dc-42fd-b6fc-b16cc6e8159e,"Language: de; Ambiguous title, requires manual review"
Emersed Growth,Other,Other,,fdd8f1de-2fb6-47a6-99f3-95fd98817d60,"Language: en; Ambiguous title, requires manual review"
Default1,Other,Other,,fbecd451-bdf0-4f2a-b87d-57a9843f8084,"Language: de; Ambiguous title, requires manual review"
Default3,Other,Other,,12f14cb3-e68c-4c51-aaf4-2b17464851f5,"Language: de; Ambiguous title, requires manual review"
Side stones,Other,Other,,group_124,"Language: it; Ambiguous title, requires manual review"
Screen,Other,Other,,group_125,"Language: nl; Ambiguous title, requires manual review"
Personalisation options:,Other,Other,,group_126,"Language: fr; Ambiguous title, requires manual review"
FRAME,Other,Other,,group_40,Language: de
Design Color,Color,Color,,group_70,Language: en
Women's Size,Size,Size,,group_127,Language: de
Color - Chain Length,Other,Other,,group_31,Language: en
Choose Size,Size,Size,,group_107,Language: nl
OPTION,Other,Other,,group_23,Language: pt
